Frame,ID,Volume_nowarp,MeanIntensity_nowarp,GMMIntensity_nowarp,Bimodality_nowarp,Volume_rigid,MeanIntensity_rigid,GMMIntensity_rigid,Bimodality_rigid
2,1,388734,127.181203599376,0,0,388734,128.864431719376,0,0
2,2,303721,129.550897040376,0,0,303721,133.36089042246,0,0
2,3,317610,123.408674160134,0,0,317610,122.88992475048,0,0
2,4,313603,122.874232708233,0,0,313603,123.07946990303,0,0
2,5,334577,124.053064018148,0,0,334577,124.084868356163,0,0
2,6,339513,122.12820422193,0,0,339513,121.719021068413,0,0
2,7,110548,122.68566595506,0,0,110548,121.45442703622,0,0
2,8,371213,125.314334357902,0,0,371213,125.672306734947,0,0
2,9,73856,122.298743500867,0,0,73856,123.762795168977,0,0
4,1,364999,128.660188110104,0,0,364999,132.291674771712,0,0
4,2,368400,122.687918023887,0,0,368400,122.333743213898,0,0
4,3,342861,125.919133409749,0,0,342861,127.532119430323,0,0
4,4,296720,124.180395659207,0,0,296720,124.90126044756,0,0
4,5,324715,122.62982307562,0,0,324715,122.79692037633,0,0
4,6,277071,124.239151697579,0,0,277071,124.706400164579,0,0
4,7,130974,124.13429382931,0,0,130974,124.729671537862,0,0
4,8,119714,123.512680221194,0,0,119714,122.726214143709,0,0
4,9,144249,124.219668767201,0,0,144249,126.883721897552,0,0
4,10,163737,127.515998216652,0,0,163737,125.820504833972,0,0
6,1,153480,120.095628094866,0,0,153480,124.48133958822,0,0
6,2,370061,124.383993449729,0,0,370061,125.062165426781,0,0
6,3,287716,126.084093342046,0,0,287716,127.787474453975,0,0
6,4,375100,127.386851506265,0,0,375100,129.233639029592,0,0
6,5,296637,123.683559367173,0,0,296637,123.993534184879,0,0
6,6,176063,124.767810386055,0,0,176063,128.211009695393,0,0
6,7,127169,130.598439871352,0,0,127169,137.223293412703,0,0
6,8,161675,124.294028142879,0,0,161675,125.857108396474,0,0
6,9,90851,128.008123190719,0,0,90851,133.953407227218,0,0
6,10,169513,121.347696046911,0,0,169513,121.202149687635,0,0
6,11,187946,123.179147201856,0,0,187946,122.024597490769,0,0
6,13,68135,123.287062449549,0,0,68135,124.025977838116,0,0
8,1,379492,125.494426759984,0,0,379492,126.159399934649,0,0
8,2,111432,121.742075884845,0,0,111432,124.181150836385,0,0
8,3,263413,127.362742157752,0,0,263413,129.313758242759,0,0
8,4,280150,123.854931286811,0,0,280150,124.279057647689,0,0
8,5,236765,127.958342660444,0,0,236765,131.333368529977,0,0
8,6,82122,120.085409512676,0,0,82122,122.501290762524,0,0
8,7,109530,121.768647859034,0,0,109530,122.015146535196,0,0
8,8,176035,125.054034709007,0,0,176035,127.279336495583,0,0
8,9,161339,132.080705842977,0,0,161339,139.562969895685,0,0
8,10,164062,125.223738586632,0,0,164062,126.767904816472,0,0
8,11,126679,131.880903701482,0,0,126679,137.159576567545,0,0
8,12,97433,122.649266675562,0,0,97433,121.233945377849,0,0
8,13,102057,122.780367833662,0,0,102057,123.430857266038,0,0
10,1,344214,123.770851853789,0,0,344214,124.758170789102,0,0
10,2,358606,126.689860180811,0,0,358606,127.957050356101,0,0
10,3,396325,130.821979436069,0,0,396325,132.497311549864,0,0
10,4,172847,124.938529450902,0,0,172847,126.858620629806,0,0
10,5,273123,128.870303855772,0,0,273123,132.832225773736,0,0
10,6,160949,125.874568962839,0,0,160949,129.123244008972,0,0
10,7,123482,119.989148215934,0,0,123482,124.435658638506,0,0
10,8,140712,127.543940815282,0,0,140712,136.703330206379,0,0
10,9,205378,133.465463681602,0,0,205378,142.21258849536,0,0
10,10,145038,132.561246018285,0,0,145038,138.749155393759,0,0
10,11,156036,122.847189110205,0,0,156036,124.162321515548,0,0
10,12,138749,127.003985614311,0,0,138749,130.09742052195,0,0
10,13,138537,123.038964320001,0,0,138537,121.75700354418,0,0
12,1,365656,122.586313365568,0,0,365656,122.027307086442,0,0
12,2,193031,135.530785210666,0,0,193031,147.837559770192,0,0
12,3,167010,126.501275372732,0,0,167010,127.918801269385,0,0
12,4,287747,128.63386586133,0,0,287747,131.930793370565,0,0
12,5,300027,125.157565819076,0,0,300027,123.971449236235,0,0
12,6,165135,129.492203348775,0,0,165135,134.641257153238,0,0
12,7,114960,128.650147877523,0,0,114960,125.408298538622,0,0
12,8,267146,125.647162974553,0,0,267146,127.388079926332,0,0
12,9,232533,125.345146710359,0,0,232533,127.810444109008,0,0
12,10,218569,123.831197470822,0,0,218569,123.873005778496,0,0
12,11,127869,135.081364521502,0,0,127869,144.291360689456,0,0
12,12,175150,124.994136454468,0,0,175150,125.98002854696,0,0
12,13,121784,123.590003612954,0,0,121784,124.417000591211,0,0
14,1,240860,135.198098480445,0,0,240860,140.442883832932,0,0
14,2,152422,130.212042880949,0,0,152422,134.573854168033,0,0
14,3,95271,120.012427706227,0,0,95271,125.020541402945,0,0
14,4,97392,123.70103293905,0,0,97392,125.49759733859,0,0
14,5,175399,126.344027046904,0,0,175399,126.586040969447,0,0
14,6,101873,128.343506130182,0,0,101873,130.074749933741,0,0
14,7,168237,130.745240345465,0,0,168237,137.637029904242,0,0
14,8,161180,125.04361583323,0,0,161180,123.568656160814,0,0
14,9,209140,125.703380510663,0,0,209140,128.241536769628,0,0
14,10,171324,123.615693072774,0,0,171324,123.644539002125,0,0
14,11,196525,123.110006360514,0,0,196525,123.323368528177,0,0
14,12,154794,126.013456593925,0,0,154794,123.087199762265,0,0
14,13,150738,130.532513367565,0,0,150738,135.970067269036,0,0
14,14,193448,134.454602787312,0,0,193448,143.044440883338,0,0
