Frame,ID,Volume_nowarp,MeanIntensity_nowarp,GMMIntensity_nowarp,Bimodality_nowarp,Volume_rigid,MeanIntensity_rigid,GMMIntensity_rigid,Bimodality_rigid
2,1,388734,149.693476773321,0,0,388734,154.823380512124,0,0
2,2,303721,158.981611413106,0,0,303721,167.562065184824,0,0
2,3,317610,142.449803217783,0,0,317610,141.413696042316,0,0
2,4,313603,149.384412776663,0,0,313603,160.681804702123,0,0
2,5,334577,153.645546466135,0,0,334577,160.403524450276,0,0
2,6,339513,144.79509473864,0,0,339513,148.260626249952,0,0
2,7,110548,141.006413503636,0,0,110548,136.258711148099,0,0
2,8,371213,144.475274303432,0,0,371213,146.029481726125,0,0
2,9,73856,141.368108210572,0,0,73856,155.838117417678,0,0
4,1,364999,154.392924364176,0,0,364999,163.581522141157,0,0
4,2,368400,146.735993485342,0,0,368400,149.092456568947,0,0
4,3,342861,143.6467081412,0,0,342861,146.678514033384,0,0
4,4,296720,151.758331086546,0,0,296720,162.856298867619,0,0
4,5,324715,147.392239348352,0,0,324715,157.452390557874,0,0
4,6,277071,145.007676732679,0,0,277071,146.393317958213,0,0
4,7,130974,149.371317971506,0,0,130974,179.905637760166,0,0
4,8,119714,158.889394724092,0,0,119714,151.192157976511,0,0
4,9,144249,154.790639796463,0,0,144249,187.7761162989,0,0
4,10,163737,157.351008018957,0,0,163737,147.854272400252,0,0
6,1,153480,124.285157675267,0,0,153480,164.846833463643,0,0
6,2,370061,154.490189455252,0,0,370061,160.928425313664,0,0
6,3,287716,152.380962476887,0,0,287716,156.760649390371,0,0
6,4,375100,142.955158624367,0,0,375100,145.806995467875,0,0
6,5,296637,166.110673988747,0,0,296637,180.963585122557,0,0
6,6,176063,161.397630393666,0,0,176063,188.995399374088,0,0
6,7,127169,163.23627613648,0,0,127169,199.139853266126,0,0
6,8,161675,150.266547085202,0,0,161675,165.023497757848,0,0
6,9,90851,151.853408327922,0,0,90851,174.181792165194,0,0
6,10,169513,136.986012872169,0,0,169513,137.73012099367,0,0
6,11,187946,139.86334372639,0,0,187946,134.088222148915,0,0
6,13,68135,137.925500843913,0,0,68135,146.210244367799,0,0
8,1,379492,153.09958839712,0,0,379492,160.804425389732,0,0
8,2,111432,136.284918156364,0,0,111432,161.527577356594,0,0
8,3,263413,142.760000455558,0,0,263413,145.353680342276,0,0
8,4,280150,164.997929680528,0,0,280150,180.706842762806,0,0
8,5,236765,152.8165142652,0,0,236765,158.31990792558,0,0
8,6,82122,123.725895618714,0,0,82122,144.00315384428,0,0
