Frame,ID,Volume_nowarp,MeanIntensity_nowarp,GMMIntensity_nowarp,Bimodality_nowarp,Volume_rigid,MeanIntensity_rigid,GMMIntensity_rigid,Bimodality_rigid
0,1,320498,120.9242023,120.9242023,0.116019321,320498,120.8039395,120.8039395,0.130147571
0,2,254451,123.6358552,123.6358552,0.128850566,254451,124.1730078,124.1730078,0.215028986
0,3,287240,125.5258669,125.5258669,0.255962071,287240,125.8474307,125.8474307,0.306130952
0,4,261261,126.0104455,126.0104455,0.242057203,261261,127.0135726,127.0135726,0.243004854
0,5,323493,125.8760035,125.8760035,0.302254516,323493,126.6745772,126.6745772,0.276227769
0,6,300649,121.8343251,121.8343251,0.070906316,300649,121.645314,121.645314,0.111587743
0,7,208824,126.1212217,126.1212217,0.232180709,208824,126.6262882,126.6262882,0.201523302
0,8,229925,122.1866609,122.1866609,0.189622662,229925,121.7930804,121.7930804,0.228594194
0,9,151971,122.8978489,122.8978489,0.145205725,151971,123.2025913,123.2025913,0.2018056
0,10,145354,122.9815623,122.9815623,0.196028365,145354,123.8548991,123.8548991,0.232776928
0,11,56381,123.3420301,123.3420301,0.232883629,56381,124.5739345,124.5739345,0.203167548
0,12,86086,121.248972,121.248972,0.096575244,86086,121.3860907,121.3860907,0.150222069
4,1,281233,122.9541555,122.9541555,0.201987667,281233,123.7562448,123.7562448,0.208606196
4,2,237912,121.3927965,121.3927965,0.118170443,237912,121.4358628,121.4358628,0.132130878
4,3,257030,127.336665,127.336665,0.392842223,257030,129.0672645,129.0672645,0.365925506
4,4,235817,124.3803076,124.3803076,0.206080281,235817,125.1776123,125.1776123,0.248306219
4,5,193872,127.4137472,127.4137472,0.288364823,193872,128.3836088,128.3836088,0.304590404
4,6,176859,124.1163808,124.1163808,0.22400574,176859,125.576838,125.576838,0.223710334
4,7,148049,126.1137867,126.1137867,0.292552307,148049,127.1920715,127.1920715,0.272393347
4,8,158014,124.7067728,124.7067728,0.272850499,158014,123.7794816,123.7794816,0.228325842
4,9,112514,122.1229269,122.1229269,0.121341698,112514,122.1544697,122.1544697,0.146036164
4,10,127407,121.3129655,121.3129655,0.11312868,127407,121.4674782,121.4674782,0.131005958
4,11,137410,124.9052907,124.9052907,0.232337144,137410,124.7338694,124.7338694,0.268384696
8,1,248292,123.2864973,123.2864973,0.162008852,248292,123.9348308,123.9348308,0.201955984
8,2,301793,127.8414145,127.8414145,0.397940425,301793,129.7290262,129.7290262,0.358212674
8,3,239033,124.7500261,124.7500261,0.209716394,239033,125.8952069,125.8952069,0.263803888
8,4,165098,121.2038062,121.2038062,0.227538556,165098,121.5740166,121.5740166,0.239319038
8,5,155283,126.5987584,126.5987584,0.305583596,155283,127.5472396,127.5472396,0.269298915
8,6,193506,125.4830651,125.4830651,0.263601754,193506,127.0833152,127.0833152,0.256427767
8,7,151127,122.9581941,122.9581941,0.104313298,151127,123.5403932,123.5403932,0.138444458
8,8,162239,124.5372013,124.5372013,0.215457659,162239,125.4858388,125.4858388,0.226338157
8,9,145277,121.4754641,121.4754641,0.114633421,145277,122.1363051,122.1363051,0.161039232
8,10,142819,122.9535706,122.9535706,0.211231366,142819,123.5033224,123.5033224,0.219966454
8,11,171708,126.7816584,126.7816584,0.221712966,171708,126.1184336,126.1184336,0.281532511
8,12,267870,120.8992496,120.8992496,0.07064595,267870,120.8378057,120.8378057,0.087605711
12,2,350034,123.6395864,123.6395864,0.131493625,350034,124.0081364,124.0081364,0.197778073
12,3,188824,125.1827204,125.1827204,0.322196552,188824,126.4911664,126.4911664,0.351092845
12,5,181464,121.9584821,121.9584821,0.129032249,181464,123.2126152,123.2126152,0.191433607
12,6,256835,124.4080908,124.4080908,0.251772465,256835,125.055413,125.055413,0.269282234
12,7,140171,121.3724094,121.3724094,0.076409762,140171,121.7248004,121.7248004,0.081494111
12,8,150562,123.2709581,123.2709581,0.188224941,150562,123.9930793,123.9930793,0.204644791
12,9,132838,122.758804,122.758804,0.217364074,132838,122.8653247,122.8653247,0.254089423
12,10,170619,123.9612411,123.9612411,0.148948165,170619,124.5638762,124.5638762,0.22050947
12,11,177232,129.1541764,129.1541764,0.328292068,177232,129.0844091,129.0844091,0.329623917
12,12,146849,121.814803,121.814803,0.131772025,146849,122.4437892,122.4437892,0.105877562
12,13,260790,122.6481383,122.6481383,0.202283572,260790,122.2459412,122.2459412,0.298720078
12,14,155211,120.6735992,120.6735992,0.090042837,155211,120.9782747,120.9782747,0.119722831
12,553,97294,124.9861759,124.9861759,0.205326283,97294,125.7497071,125.7497071,0.268900273
16,1,118244,313.256994,166.8026031,0.763428711,118244,329.2178546,190.0434009,0.757072812
16,2,200824,121.4363124,121.4363124,0.086192087,200824,121.3129457,121.3129457,0.148872093
16,3,170945,123.6785223,123.6785223,0.182090366,170945,123.7947761,123.7947761,0.235582491
16,4,185480,127.124628,127.124628,0.290438857,185480,127.1885163,127.1885163,0.356899394
16,5,146554,121.6879921,121.6879921,0.148188674,146554,121.7807771,121.7807771,0.23778807
16,6,220346,124.242033,124.242033,0.272706297,220346,125.0798925,125.0798925,0.328159705
16,7,127597,125.9754618,125.9754618,0.241864492,127597,125.4729422,125.4729422,0.229301625
16,8,64830,122.091254,122.091254,0.081667204,64830,122.4215024,122.4215024,0.179218132
16,9,187038,121.7645024,121.7645024,0.127613923,187038,122.5298121,122.5298121,0.207104698
16,10,185377,124.2246395,124.2246395,0.273992866,185377,125.2117792,125.2117792,0.333313095
16,11,144061,129.1954728,129.1954728,0.315461653,144061,129.6984264,129.6984264,0.377722017
16,12,157486,132.6167278,135.7958067,0.443144219,157486,135.3624386,135.3624386,0.375444368
16,13,133792,122.0408171,122.0408171,0.10259858,133792,122.1949519,122.1949519,0.183137104
16,14,159496,122.9034459,122.9034459,0.169933633,159496,123.4011762,123.4011762,0.258336304
16,15,178814,121.0204346,121.0204346,0.131194524,178814,120.7975438,120.7975438,0.225847046
16,16,61427,121.3222199,121.3222199,0.076488706,61427,121.404008,121.404008,0.138419371
20,1,202403,127.5815922,127.5815922,0.287969282,202403,127.2904255,127.2904255,0.333885058
20,2,205047,124.3038181,124.3038181,0.17851104,205047,125.0659897,125.0659897,0.220360116
20,3,147249,239.1802118,149.4791323,0.737542571,147249,255.0651278,169.9838099,0.710768509
20,4,161802,124.6425075,124.6425075,0.172371193,161802,124.8511143,124.8511143,0.229597534
20,5,145231,121.1116497,121.1116497,0.090850717,145231,121.4000386,121.4000386,0.132974035
20,6,159390,124.2131439,124.2131439,0.218606166,159390,124.3546396,124.3546396,0.245050737
20,7,164084,122.1377465,122.1377465,0.130956442,164084,123.1371736,123.1371736,0.185313849
20,8,174067,124.9249082,124.9249082,0.165111561,174067,124.7638151,124.7638151,0.201237824
20,9,182473,125.4344862,125.4344862,0.2775727,182473,126.9152039,126.9152039,0.260466269
20,10,171011,129.5183585,129.5183585,0.396008827,171011,131.6426897,131.6426897,0.378324779
20,11,219933,123.3312645,123.3312645,0.143172775,219933,123.3966162,123.3966162,0.160601124
20,12,112342,124.7112478,124.7112478,0.259018745,112342,126.1128518,126.1128518,0.26919595
20,13,177564,122.6673256,122.6673256,0.177801918,177564,123.1111374,123.1111374,0.237857494
20,14,147439,125.1047755,125.1047755,0.179873398,147439,124.3968014,124.3968014,0.239382734
20,15,130268,124.0583336,124.0583336,0.309183903,130268,125.2936331,125.2936331,0.323305688
20,16,177843,135.4908487,139.9997213,0.465337691,177843,137.8865179,141.1535632,0.411168698
20,17,163514,122.0676517,122.0676517,0.162557776,163514,122.2623629,122.2623629,0.213924392
24,1,239507,124.299699,124.299699,0.213595422,239507,124.7560948,124.7560948,0.219888079
24,2,178860,124.169574,124.169574,0.295905067,178860,125.0164989,125.0164989,0.257003054
24,3,161819,132.0401436,135.290228,0.454579623,161819,134.1387167,137.1991646,0.457261067
24,4,182662,124.6300325,124.6300325,0.24031677,182662,124.5986029,124.5986029,0.288922147
24,5,244113,123.4782007,123.4782007,0.17396145,244113,124.0095079,124.0095079,0.231894171
