Frame,ID,Volume_nowarp,MeanIntensity_nowarp,GMMIntensity_nowarp,Bimodality_nowarp,Volume_rigid,MeanIntensity_rigid,GMMIntensity_rigid,Bimodality_rigid
0,1,198599,118.126032860186,118.126032860186,0.313445548100066,198599,117.843574237534,117.843574237534,0.211662288651882
0,2,471403,119.177646302633,119.177646302633,0.103874794019295,471403,119.204915963623,119.204915963623,0.0896940760108012
0,3,364369,119.197623837374,119.197623837374,0.0955785299509262,364369,119.106301578894,119.106301578894,0.0797402361660066
0,4,431459,119.593358812772,119.593358812772,0.110002003262616,431459,119.622800775972,119.622800775972,0.0916699184404038
0,5,367892,119.746955628282,119.746955628282,0.110318420659403,367892,119.826133756646,119.826133756646,0.107123205586766
0,6,348258,119.674632025682,119.674632025682,0.165514246085918,348258,119.606955188395,119.606955188395,0.175989720724607
0,7,363684,119.606958238471,119.606958238471,0.283457903108307,363684,119.489273655151,119.489273655151,0.236561053712648
0,8,359587,119.139590697105,119.139590697105,0.0848835758881148,359587,119.140458359173,119.140458359173,0.0607459116194421
0,9,322336,118.840898937754,118.840898937754,0.293313257639163,322336,118.73092053013,118.73092053013,0.197963129752654
0,10,79520,118.33328722334,118.33328722334,0.184046941615786,79520,118.177665995976,118.177665995976,0.114885334781446
0,11,119784,125.473677619715,128.493414683046,0.495803893963163,119784,128.528968810526,128.528968810526,0.375400849585657
0,12,138537,130.526566909923,132.649542347629,0.408002229336485,138537,130.606227939107,130.606227939107,0.36485585155132
0,13,100548,118.936597445996,118.936597445996,0.240759045241779,100548,119.833303496837,119.833303496837,0.187620204507566
0,14,79978,117.580859736428,117.580859736428,0.343396785490041,79978,117.609455100153,117.609455100153,0.143806009935506
0,15,32298,118.438200507771,118.438200507771,0.237956791136046,32298,118.161093566165,118.161093566165,0.261831041377624
0,17,63686,127.106098671608,127.106098671608,0.399970347061769,63686,127.665059824765,127.665059824765,0.258386280736568
4,1,452921,119.429876291892,119.429876291892,0.103414304475208,452921,119.502297310127,119.502297310127,0.0845839517383804
4,2,201105,118.003987966485,118.003987966485,0.324840995010611,201105,117.956167176351,117.956167176351,0.172153004951997
4,3,339587,120.271939149614,120.271939149614,0.091668994904117,339587,120.34496314641,120.34496314641,0.0823202834933474
4,4,376129,119.967580271662,119.967580271662,0.114670927256292,376129,120.033967069808,120.033967069808,0.0987949360017198
4,5,391691,119.982557679395,119.982557679395,0.123082673481125,391691,120.073157157045,120.073157157045,0.109156410708924
4,6,356397,119.85431695553,119.85431695553,0.236873444834772,356397,119.81150234149,119.81150234149,0.230285673537365
4,7,361572,119.120653701061,119.120653701061,0.106465774483583,361572,119.128367240826,119.128367240826,0.100098122172035
4,8,378079,119.392399472068,119.392399472068,0.0921226425088914,378079,119.425577723174,119.425577723174,0.0835852701226172
4,9,303450,119.314776734223,119.314776734223,0.303945023004611,303450,119.260056022409,119.260056022409,0.238368566757863
4,10,117179,125.059584055163,127.880097848533,0.487684629403063,117179,127.608103841132,130.701258891284,0.400512118422803
4,11,77843,118.299731510862,118.299731510862,0.117295085229316,77843,118.131778066107,118.131778066107,0.109274371037023
4,12,155258,128.796719009648,131.301920498131,0.430234556425227,155258,129.488457921653,129.488457921653,0.363525649261106
4,14,72357,118.952637616264,118.952637616264,0.219863118000535,72357,119.921472697873,119.921472697873,0.188203127641906
4,15,66357,124.925659689257,122.163423422978,0.465739185298717,66357,126.899272118993,126.899272118993,0.360045306280676
8,1,191258,118.221878300516,118.221878300516,0.389214910660228,191258,118.047548337847,118.047548337847,0.307654745542044
8,2,665360,119.109591799928,119.109591799928,0.0732399321480378,665360,119.122438980402,119.122438980402,0.0615839686265037
8,3,373348,119.294007199717,119.294007199717,0.103136233575315,373348,119.218463738925,119.218463738925,0.0897942934000149
8,4,402960,119.877776950566,119.877776950566,0.101652121884579,402960,119.941026404606,119.941026404606,0.0912603571223108
8,5,339260,119.841360608383,119.841360608383,0.283803384365252,339260,119.817485114661,119.817485114661,0.239150502464439
8,6,425708,120.259569939959,120.259569939959,0.0882141077058994,425708,120.338584193861,120.338584193861,0.0773908874479124
8,7,366076,119.453679017472,119.453679017472,0.0961496057282723,366076,119.487644642096,119.487644642096,0.0919124239233651
8,8,306800,119.237764015645,119.237764015645,0.319125922149411,306800,119.277809647979,119.277809647979,0.249511558529102
8,9,369363,120.110750129277,120.110750129277,0.18009122100049,369363,120.132544407534,120.132544407534,0.190204811097219
8,10,85153,118.506582269562,118.506582269562,0.242988994321673,85153,118.261529247355,118.261529247355,0.196571607991998
8,11,77996,117.545527975794,117.545527975794,0.394642898604424,77996,117.471434432535,117.471434432535,0.241562205844486
8,12,104468,124.743912011334,127.752617908957,0.498073002599807,104468,127.909484243979,127.909484243979,0.370070941690629
8,13,125756,129.496803333439,132.072742468792,0.42106729957742,125756,130.367775692611,130.367775692611,0.365279319382712
