Cell_ID,16_mito,16_G1,16_G2,32_mito,32_G1,32_G2,64_mito,64_G1
130_15,4,10,34,47,53,84,91,97
130_22,4,10,34,47,53,84,91,97
130_161,4,10,32,40,48,91,96,105
130_17,,7,,45,50,90,101,117
130_20,,7,,45,50,90,101,120
130_13,,,,41,48,42,91,97
130_21,,,,41,48,42,91,97
130_8,,,32,42,47,89,89,101
130_14,,,32,42,47,89,89,106
130_9,,,32,42,47,,95,
130_171,,,32,42,47,89,,
130_168,,,28,39,43,75,82,92
130_10,,,29,40,46,80,87,101
130_7,,,29,40,45,80,87,103
130_6,,,29,40,45,76,83,100
130_27,,,29,40,45,76,83,103
130_163,4,10,34,47,53,98,106,
130_162,4,10,34,47,53,99,106,
130_28,4,10,30,40,45,83,89,
130_158,4,10,30,40,45,83,89,
130_5,4,10,32,40,48,91,96,106
130_39,,7,,45,51,93,101,117
130_159,,7,,45,51,93,101,119
130_37,,,31,43,45,83,89,107
130_32,,,31,43,45,83,89,102
130_38,,,31,43,45,91,98,118
130_19,,,31,43,45,91,98,116
130_167,,,,41,46,102,112,121
130_29,,,,41,46,102,112,122
130_11,,,29,39,45,69,86,96
130_156,,,29,39,45,69,86,95
130_18,,,29,39,45,79,88,101
130_160,,,29,39,45,79,88,101
130_23,,,,42,47,93,101,115
130_26,,,,42,47,93,101,118
130_35,,,37,42,47,80,89,105
130_41,,,33,42,47,80,89,
130_16,,,28,39,43,75,82,92
130_169,,,29,39,44,82,88,
130_164,,,29,39,44,82,88,
130_4,,,35,49,55,104,118,122
130_1,,,35,49,55,104,116,127
130_2,,,34,49,55,94,102,115
130_3,,,34,49,55,94,102,116
130_155,,,29,37,43,70,81,89
130_12,,,29,37,43,70,81,91
130_43,,,29,37,43,83,94,84
130_25,,,29,37,43,83,97,84
130_30,,,35,44,49,85,93,105
130_36,,,35,44,49,85,93,105
130_166,,,35,44,49,87,91,100
130_33,,,35,44,49,87,91,105
130_165,,,,46,50,80,87,95
130_24,,,,46,50,80,87,96
130_154,,,,,46,50,89,102
130_157,,,,46,50,89,89,100
130_34,,,38,53,58,97,104,124
130_40,,,38,53,58,97,104,123
130_44,,,39,53,58,106,111,123
130_31,,,39,53,58,106,111,127
