Frame,ID,Volume_nowarp,MeanIntensity_nowarp,GMMIntensity_nowarp,Bimodality_nowarp
0,1,178199,175.060814033749,175.060814033749,0.38592193817043
0,2,172974,177.300357279129,177.300357279129,0.380486411771936
0,3,142293,210.184907198527,224.224457186151,0.429397924336816
0,4,134188,209.635876531434,223.176320786703,0.41722851874405
0,5,207778,178.504663631376,178.504663631376,0.372367738486736
0,6,150106,191.998527707087,175.000905331038,0.417497625556363
0,7,173633,169.059522095454,169.059522095454,0.39092659467994
0,8,140851,401.265990301808,200.867441490148,0.73678124956453
0,9,141220,149.68004531936,149.68004531936,0.377854700838991
1,1,166754,185.573569449608,185.573569449608,0.336346452055101
1,2,149715,213.184757706309,224.00669384847,0.407550053008859
1,3,224638,179.172312787685,179.172312787685,0.372346158240881
1,4,184728,180.211218656619,180.211218656619,0.391201279657266
1,5,150584,197.110948042289,197.110948042289,0.427971687141728
1,6,139441,207.454816015376,220.146747607491,0.416895193622284
1,7,177979,173.937071227504,173.937071227504,0.384096109711828
1,8,103677,425.00282608486,425.00282608486,0.689116890947272
1,9,143825,156.651965930819,149.184998888886,0.406393848189041
2,1,181285,188.632661279201,188.632661279201,0.304736642124554
2,2,161005,206.100313654855,206.100313654855,0.396133818468498
2,3,177271,178.213187718239,178.213187718239,0.370910711284096
2,4,141259,202.339857991349,202.339857991349,0.32972727513171
2,5,177789,176.788248991782,176.788248991782,0.332107048658149
2,6,166207,203.323379881714,178.811837778786,0.441948655658852
2,7,181786,171.763458132089,171.763458132089,0.389983648565135
2,8,138181,175.901846129352,175.901846129352,0.362882735465607
2,9,113324,396.112200416505,396.112200416505,0.642765296829849
3,1,175246,196.367158166235,196.367158166235,0.327221272891199
3,2,154762,194.19906695442,194.19906695442,0.332307160893406
3,3,192039,170.867308203021,170.867308203021,0.385507893575394
3,4,167278,202.844091871017,202.844091871017,0.395921115790985
3,5,186183,177.750041625712,177.750041625712,0.38219923441009
3,6,151066,173.604298783313,173.604298783313,0.386638759675093
3,7,180245,176.581120142029,176.581120142029,0.322532952433203
3,8,173024,202.859065794341,181.184316814902,0.416060353325746
3,9,123721,406.743697512953,406.743697512953,0.656321276788795
4,1,153414,192.297013310389,192.297013310389,0.368357626045492
4,2,171362,201.208015779461,201.208015779461,0.381190232109422
4,3,174574,194.689249258194,194.689249258194,0.334761469038569
4,4,155963,175.549835537916,175.549835537916,0.356461245287954
4,5,188130,176.995030032424,176.995030032424,0.377021683098483
4,6,192990,170.896745945386,170.896745945386,0.386430452730605
4,7,182022,176.702211820549,176.702211820549,0.335292396950389
4,8,173321,200.875462292509,178.514937455242,0.411042262672281
4,9,138556,373.907452582349,198.497861822541,0.730546813989961
5,1,188807,177.805383274985,177.805383274985,0.381333001215176
5,2,178040,199.197298359919,199.197298359919,0.374904499521736
5,3,174003,173.932075883749,173.932075883749,0.36335070062164
5,4,177523,191.1668572523,191.1668572523,0.319546761134582
5,5,197245,169.45468833177,169.45468833177,0.389584667037043
5,6,156757,192.27525405564,192.27525405564,0.329260080745401
5,7,180895,174.653511705686,174.653511705686,0.316084612852182
5,8,168243,200.383385935819,200.383385935819,0.383541600111803
5,9,167576,312.551164844608,174.260209601551,0.754522985878236
6,1,175327,171.267836670906,171.267836670906,0.361373066472687
6,2,175316,198.90146934678,198.90146934678,0.363201243451553
6,3,174797,193.759378021362,193.759378021362,0.284005821065738
6,4,191955,171.763616472611,171.763616472611,0.331588285958967
6,5,188003,177.495800598927,177.495800598927,0.377180681196383
6,6,156968,189.409535701544,189.409535701544,0.358491808293096
6,7,175813,198.335976292993,198.335976292993,0.399919027128914
6,8,197782,170.144664327391,170.144664327391,0.385395614128723
6,9,92667,424.486775227427,424.486775227427,0.662316400186833
7,1,178833,195.196171847478,195.196171847478,0.313153959125435
7,2,206362,167.532554443163,167.532554443163,0.392449588441754
7,3,181638,197.564188110417,197.564188110417,0.366171954155761
7,4,179275,170.37868637568,170.37868637568,0.365057767012747
7,5,193407,177.310211109215,177.310211109215,0.371602533234911
7,6,159248,188.662363106601,188.662363106601,0.349100970066622
7,7,176674,196.665321439487,196.665321439487,0.389114822226349
7,8,101748,420.892292723198,420.892292723198,0.663252384322065
7,9,193048,172.342686792922,172.342686792922,0.324024124856957
8,1,184728,196.701848122645,196.701848122645,0.36495303591561
8,2,206475,169.56871291924,169.56871291924,0.389785326067153
8,3,191459,191.311581069576,191.311581069576,0.326090855655668
8,4,174743,173.166547443961,173.166547443961,0.343566496029998
8,5,195369,177.818430764348,177.818430764348,0.370940128337943
8,6,158495,188.376586012177,188.376586012177,0.356734620328594
8,7,195424,173.191322457835,173.191322457835,0.309938593322137
8,8,175276,199.119331796709,199.119331796709,0.388741043279107
8,9,105102,437.248025727389,437.248025727389,0.65783593003244
