Frame,ID,Volume_nowarp,MeanIntensity_nowarp,GMMIntensity_nowarp,Bimodality_nowarp,Volume_rigid,MeanIntensity_rigid,GMMIntensity_rigid,Bimodality_rigid
0,1,320498,183.0432452,183.0432452,0.3588054,320498,181.1445407,181.1445407,0.295520182
0,2,254451,192.2610326,186.1216463,0.501201267,254451,177.6746918,177.6746918,0.370414788
0,3,287240,203.0379682,195.9070843,0.439024621,287240,200.853088,188.5428958,0.452306824
0,4,261261,183.7310659,176.8043156,0.433811206,261261,180.4540708,175.3312324,0.403245965
0,5,323493,193.3472749,187.0978019,0.401673447,323493,221.4891265,206.1254923,0.445208618
0,6,300649,191.9147877,183.2780817,0.45218891,300649,170.877505,170.877505,0.312685774
0,7,208824,211.2734073,203.4438875,0.409791705,208824,173.5662424,169.8596283,0.412057551
0,8,229925,211.9296945,211.9296945,0.354061188,229925,207.9283766,207.9283766,0.352659035
0,9,151971,148.3720052,142.2568631,0.715243435,151971,190.3475466,186.4409377,0.411387038
0,10,145354,138.5537515,138.5537515,0.385904087,145354,220.9921296,210.0015767,0.459948295
0,11,56381,149.4749472,155.012199,0.405968523,56381,205.6563736,195.6123237,0.511297948
0,12,86086,173.8888089,173.8888089,0.377645161,86086,137.1654973,137.1654973,0.396221292
4,1,281233,149.2959254,149.2959254,0.350945125,281233,158.656189,158.656189,0.489479297
4,2,237912,150.6415481,150.6415481,0.349292513,237912,148.5441045,148.5441045,0.339519959
4,3,257030,152.2719138,152.2719138,0.311456352,257030,138.3119908,130.1816413,0.626351871
4,4,235817,159.4832434,159.4832434,0.396018018,235817,166.7482667,166.7482667,0.391998447
4,5,193872,164.0425745,159.5110779,0.466347813,193872,159.2291151,159.2291151,0.35581584
4,6,176859,153.1444201,164.9688817,0.57765613,176859,179.7122793,179.7122793,0.368103189
4,7,148049,160.9292464,178.0666877,0.590882548,148049,149.9873826,149.9873826,0.349433594
4,8,158014,170.4231967,159.0928407,0.609852915,158014,155.4472958,153.4417325,0.466436018
4,9,112514,132.3368825,128.1363348,0.549475128,112514,150.4869261,150.4869261,0.338234911
4,10,127407,149.9240701,149.9240701,0.342730433,127407,151.2867346,151.2867346,0.395527611
4,11,137410,160.3667419,156.7786593,0.402907567,137410,164.0495233,156.9335804,0.553704155
8,1,248292,134.255715,134.255715,0.348542458,248292,133.0168914,133.0168914,0.36781205
8,2,301793,130.3814436,130.3814436,0.302291715,301793,131.6639617,131.6639617,0.301810956
8,3,239033,132.9403764,132.9403764,0.313541508,239033,132.2513209,132.2513209,0.38299633
8,4,165098,129.6891483,132.4466062,0.41697903,165098,132.4299083,132.4299083,0.249295892
8,5,155283,135.6864628,130.6279367,0.498967064,155283,141.7186814,141.7186814,0.322258072
8,6,193506,137.6591268,144.2872483,0.562453579,193506,148.9124833,148.9124833,0.373948617
8,7,151127,126.5190403,126.5190403,0.340965596,151127,130.8513833,130.8513833,0.280977787
8,8,162239,133.7690753,133.7690753,0.345039586,162239,138.1589692,138.1589692,0.268111375
8,9,145277,129.0836953,129.0836953,0.259446738,145277,134.559008,134.559008,0.299238295
